symbol,dollar_volume
TSLA,37675047100.93549
NVDA,36065914360.9856
QQQ,29540842931.797253
AAPL,15817107761.062773
META,11653802249.678598
AMZN,11429645906.671524
MSFT,10163236899.153502
PLTR,9784400406.573826
TQQQ,8256910509.235998
AVGO,6433929730.4733
GOOGL,6247228010.266999
MSTR,5751884880.808499
SQQQ,5177928505.55175
NFLX,5115836038.7056
TLT,4825450199.444001
AMD,4503303893.487901
GOOG,4137725494.5318003
UNH,3849543717.7551746
BABA,3513885194.5923
TSM,3488571906.305
BRK.B,3404902473.5271
JPM,3319809535.0241504
LLY,3073257614.1921496
COST,2683758400.9273005
APP,2676153084.34215
V,2501715640.3907504
BAC,2438373307.2902503
SMH,2412529586.59095
MU,2404127312.07935
WMT,2367587582.16345
TSLL,2243005085.79
INTC,2227172967.302
XOM,2145276039.39135
HOOD,2141762638.0020752
IBIT,2056772273.9186502
GS,1894470494.9668
CRM,1875931171.0568
ABBV,1830925295.1316001
MA,1821511542.6979501
JNJ,1804190934.5095503
CVX,1723910871.5136003
NKE,1712007040.89525
TXN,1688306996.8799999
BA,1668259886.0593002
ADBE,1664457564.6692998
SMCI,1628291885.5505252
CSCO,1621599114.1794999
ORCL,1618350077.123275
IEF,1594780240.01685
NOW,1590561579.7023752
